ID,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
0,0,0,53,91,72, NM,0,47,1,0,0,0,1
2,0,0,63,112,87.5, MD,0,36,1,0,0,0,0
3,0,0,80,90,85, FL,1,10,1,0,1,0,1
4,0,0,56,97,76.5, WA,1,55,1,0,0,0,0
5,0,0,86,143,114.5, NY,1,22,1,0,0,0,1
6,0,0,71,119,95, TX,1,20,1,0,0,1,1
7,0,0,54,93,73.5, MD,1,12,0,0,0,0,1
8,0,0,86,142,114, CA,0,15,1,0,1,1,1
9,0,0,38,84,61, NY,1,6,0,0,0,0,0
10,0,0,120,160,140, NY,1,11,1,0,1,0,0
11,0,0,126,201,163.5, CA,0,9,1,0,0,0,0
12,0,0,64,106,85, VA,0,52,0,0,0,0,0
13,0,0,106,172,139, TX,0,58,0,0,0,0,0
14,0,0,46,85,65.5, WA,1,8,1,0,1,1,1
15,0,0,83,144,113.5, MA,0,239,1,0,1,0,0
16,0,0,102,190,146, NJ,1,25,0,0,0,0,1
17,0,0,67,137,102, MA,1,9,0,0,0,0,1
18,0,0,118,189,153.5, CA,1,9,1,0,1,1,1
19,0,0,110,175,142.5, CA,1,10,0,0,0,0,0
20,0,0,64,111,87.5, CO,1,105,1,0,0,0,1
21,0,0,81,130,105.5, WA,1,8,1,0,1,0,0
22,0,0,73,119,96, TX,0,7,0,0,0,0,1
23,0,0,86,139,112.5, IL,0,25,1,0,0,1,1
24,0,0,63,105,84, KY,0,85,1,0,0,0,1
25,0,0,109,177,143, VA,0,8,1,0,0,1,0
26,0,0,63,110,86.5, MA,0,171,1,0,0,1,1
27,0,0,75,124,99.5, OR,0,68,1,0,1,1,1
28,0,0,34,61,47.5, MA,1,168,0,0,0,0,1
29,0,0,63,105,84, CT,0,171,0,0,0,1,1
30,0,0,80,90,85, FL,1,10,1,0,1,0,1
31,0,0,56,97,76.5, WA,1,55,1,0,0,0,0
32,0,0,72,120,96, MI,1,23,1,0,0,0,0
33,0,0,86,143,114.5, MA,0,24,1,0,0,0,0
34,0,0,93,149,121, CA,1,24,1,0,1,0,1
35,0,0,85,140,112.5, MA,1,46,1,0,0,0,1
36,0,0,77,135,106, CA,0,12,1,0,0,0,1
37,0,0,82,132,107, CA,1,51,1,0,1,1,0
38,0,0,83,137,110, MA,1,10,1,0,1,0,1
39,0,0,115,180,147.5, CA,0,150,1,0,0,0,1
40,0,0,74,138,106, NY,1,35,1,0,0,0,1
41,0,0,64,112,88, CA,1,12,1,0,0,1,1
42,0,0,68,129,98.5, MA,0,-1,0,0,0,0,1
43,0,0,110,175,142.5, CA,1,10,0,0,0,0,0
44,0,0,52,113,82.5, NJ,0,5,0,0,0,1,0
45,0,0,110,150,130, IL,1,27,1,0,1,0,1
46,0,1,150,160,155, DC,0,-1,0,0,0,1,1
47,0,0,158,211,184.5, WA,0,62,1,0,0,0,1
48,0,0,20,39,29.5, CO,0,34,0,0,0,0,1
49,0,0,56,117,86.5, OH,0,21,0,0,0,0,0
50,0,0,63,99,81, IL,0,95,0,0,0,0,0
51,0,0,68,114,91, FL,1,36,1,0,0,0,1
52,0,0,86,143,114.5, MA,1,108,1,0,0,0,0
53,0,0,41,95,68, AL,1,18,1,0,0,0,1
54,0,0,86,144,115, NY,0,157,1,0,0,0,1
55,0,0,80,139,109.5, CA,0,81,0,0,0,0,1
56,0,0,56,95,75.5, NM,0,150,1,0,0,0,1
57,0,0,120,189,154.5, CA,0,8,1,0,1,0,1
58,0,0,111,176,143.5, MO,1,4,1,0,1,0,0
59,0,0,54,93,73.5, MD,1,12,0,0,0,0,1
60,0,0,71,119,95, TX,1,20,1,0,0,1,1
61,0,0,82,132,107, OH,1,135,1,0,0,1,0
62,0,0,84,146,115, NY,1,9,1,0,1,1,0
63,0,0,107,172,139.5, CA,1,14,0,0,0,0,0
64,0,0,49,85,67, WA,1,55,0,0,0,0,0
65,0,0,61,109,85, PA,1,72,1,0,0,0,0
66,0,0,88,148,118, MA,1,14,1,0,0,0,1
67,0,0,60,99,79.5, GA,1,17,1,0,0,0,1
68,0,0,41,72,56.5, MA,1,21,1,0,0,0,0
69,0,0,96,161,128.5, PA,0,-1,1,0,1,1,0
70,0,0,65,130,97.5, WA,0,81,0,0,0,0,0
71,0,0,52,81,66.5, IN,0,5,1,0,0,0,0
72,0,0,139,220,179.5, IL,1,93,1,0,0,0,1
73,0,0,50,102,76, MO,0,42,0,0,0,0,1
74,0,0,85,139,112, VA,0,10,1,0,1,0,0
75,0,0,74,122,98, PA,0,160,1,0,0,0,0
76,0,0,99,157,128, WA,0,81,0,0,1,1,0
77,0,0,79,222,150.5, CA,1,9,1,0,1,1,1
78,0,0,57,118,87.5, MA,1,20,0,0,0,1,0
79,0,0,83,137,110, VA,0,3,1,0,0,0,1
80,0,0,86,141,113.5, CA,0,25,1,0,0,0,1
81,0,0,94,154,124, CA,1,4,1,0,0,0,0
82,0,0,37,76,56.5, PA,1,23,0,0,0,0,1
83,0,0,100,160,130, MD,1,78,1,0,0,0,1
84,0,0,55,100,77.5, IL,1,12,0,0,0,0,1
85,0,0,60,114,87, VA,1,18,1,0,0,1,1
86,0,0,39,68,53.5, WA,1,72,0,0,0,0,1
87,0,0,106,172,139, TX,0,58,0,0,0,0,0
88,0,0,86,142,114, CA,0,15,1,0,1,1,1
89,0,0,64,107,85.5, FL,1,12,1,0,1,0,1
90,0,0,31,65,48, AL,0,24,0,0,0,0,1
91,0,0,34,62,48, LA,1,21,0,0,0,0,1
92,0,0,117,231,174, CA,1,30,0,0,0,0,1
93,0,0,64,106,85, GA,0,52,1,0,1,0,0
94,0,0,79,134,106.5, MD,0,17,0,0,0,0,0
95,0,0,52,93,72.5, MD,0,32,0,0,0,0,1
96,0,0,55,116,85.5, MD,0,24,0,0,0,0,0
97,0,0,72,123,97.5, VA,0,62,1,0,0,0,1
98,0,0,74,124,99, VA,0,10,1,0,0,0,1
99,0,0,40,73,56.5, WI,0,19,0,0,0,0,1
100,0,0,102,164,133, MD,1,13,1,0,0,0,0
101,0,0,89,153,121, NY,1,8,1,0,1,0,0
102,0,0,61,110,85.5, NY,1,28,1,0,0,0,0
103,0,0,65,110,87.5, TX,0,5,1,0,0,0,0
104,0,0,200,275,237.5, DC,1,85,1,0,0,0,1
105,0,0,68,123,95.5, NC,0,23,1,0,1,0,0
106,0,0,80,129,104.5, MI,0,26,1,0,1,1,1
107,0,0,41,72,56.5, NJ,0,8,0,0,0,0,1
108,0,0,39,71,55, AZ,1,10,0,0,0,0,1
109,0,0,38,85,61.5, NE,1,43,0,0,0,0,1
110,0,0,121,193,157, CA,1,14,0,0,1,1,0
111,0,0,54,102,78, NJ,1,1,1,0,0,0,0
112,0,0,83,144,113.5, MA,0,239,1,0,1,0,0
113,0,0,120,160,140, NY,1,11,1,0,1,0,0
114,0,0,102,163,132.5, CA,1,5,0,0,1,0,1
115,0,0,76,140,108, CA,0,38,1,0,1,0,0
116,0,0,60,101,80.5, IN,1,83,0,0,0,0,0
117,0,0,82,133,107.5, MD,1,20,1,0,0,0,0
118,0,0,65,125,95, MN,1,24,0,0,1,1,0
119,0,0,91,148,119.5, CA,1,23,1,0,1,0,0
120,0,0,95,173,134, NC,0,20,0,0,1,1,0
121,0,0,77,124,100.5, MA,1,21,1,0,0,0,1
122,0,0,80,135,107.5, OH,1,142,1,0,0,0,0
123,0,0,85,159,122, DC,1,5,1,0,1,1,0
124,0,0,80,105,92.5, IL,1,27,1,0,1,0,1
125,0,0,43,81,62, MD,1,34,0,0,0,0,1
126,0,0,29,50,39.5, AL,0,20,0,0,0,0,0
127,0,0,82,133,107.5, Los Angeles,0,54,0,0,0,0,1
128,0,0,26,55,40.5, MO,1,3,1,0,0,1,1
129,0,0,61,118,89.5, VA,0,62,1,0,1,0,0
130,0,0,60,102,81, IL,1,12,1,0,0,1,1
131,0,0,112,182,147, VA,0,8,1,0,0,1,0
132,0,0,64,106,85, TX,1,62,1,0,0,0,1
133,0,0,51,112,81.5, CA,0,49,0,0,0,0,1
134,0,0,113,223,168, CA,0,23,0,0,0,0,1
135,0,0,72,129,100.5, CO,1,13,1,0,1,1,1
136,0,0,71,123,97, NY,0,77,1,0,1,0,1
137,0,0,64,106,85, VA,0,52,0,0,0,0,0
138,0,0,118,189,153.5, CA,1,9,1,0,1,1,1
139,0,1,120,145,132.5, FL,0,3,0,0,0,0,0
140,0,0,80,120,100, IL,1,12,0,0,1,0,1
141,0,0,80,130,105, CO,1,9,1,0,0,0,0
142,0,0,59,115,87, UT,0,-1,0,0,0,1,1
143,0,0,71,136,103.5, CA,1,7,0,0,0,0,1
144,0,0,81,167,124, PA,1,36,1,0,0,0,1
145,0,0,49,85,67, WA,1,55,1,0,0,0,0
146,0,0,60,114,87, DC,0,20,0,0,0,0,0
147,0,0,71,204,137.5, IL,0,9,1,0,1,1,1
148,0,0,75,125,100, OH,1,33,1,0,0,0,1
149,0,0,77,136,106.5, TN,1,75,0,0,0,0,1
150,0,0,74,123,98.5, WA,1,55,0,0,0,0,0
151,0,0,44,78,61, FL,1,10,1,0,0,0,1
152,0,0,65,148,106.5, IN,1,12,1,0,1,1,0
153,0,0,59,110,84.5, MA,1,15,1,0,1,0,0
154,0,0,85,134,109.5, NJ,1,174,1,0,0,0,1
155,0,0,124,204,164, MA,0,169,1,0,1,1,0
156,0,0,131,207,169, CA,1,44,1,0,1,0,1
157,0,0,110,174,142, CA,0,24,1,0,1,1,1
158,0,0,52,101,76.5, MA,0,239,0,0,0,0,1
159,0,0,81,133,107, MD,1,39,1,0,0,0,1
160,0,0,132,211,171.5, CA,1,50,1,0,0,1,0
161,0,0,73,119,96, TX,0,7,0,0,0,0,1
162,0,0,110,175,142.5, CA,1,10,0,0,0,0,0
163,0,0,74,140,107, UT,0,-1,0,0,0,0,1
164,0,0,100,190,145, MA,1,10,1,0,0,0,1
165,0,0,43,80,61.5, VA,1,27,1,0,0,0,1
166,1,0,17,24,20.5, PA,0,3,0,0,0,0,0
167,0,0,91,149,120, WI,1,69,1,0,0,0,0
168,0,0,42,82,62, MA,1,7,0,0,0,0,0
169,0,0,116,185,150.5, CA,0,38,1,0,1,0,0
170,0,0,59,116,87.5, MI,0,53,0,0,0,0,1
171,0,0,48,95,71.5, FL,1,14,1,0,1,1,1
172,0,0,31,72,51.5, CA,1,14,0,0,0,0,1
173,0,0,105,198,151.5, CA,0,239,0,0,0,0,1
174,0,0,55,100,77.5, NJ,1,6,1,0,0,0,1
175,0,0,98,182,140, MA,0,239,0,0,0,0,1
176,0,0,73,124,98.5, NJ,0,38,0,0,0,0,1
177,0,1,200,250,225, CA,0,3,1,0,0,1,1
178,1,0,21,34,27.5, DE,1,85,0,0,0,0,0
179,0,0,117,206,161.5, MA,0,239,0,0,0,0,0
180,0,0,111,183,147, NY,0,72,1,0,1,1,0
181,0,0,44,78,61, MO,1,59,0,0,0,0,1
182,0,0,81,159,120, PA,1,36,1,0,0,0,0
183,0,0,83,166,124.5, AZ,0,12,1,0,0,0,1
184,0,0,114,182,148, CA,1,11,1,0,0,0,0
185,0,0,42,76,59, AL,0,24,1,0,0,0,1
186,0,0,114,179,146.5, MA,1,168,1,0,0,0,1
187,0,0,60,123,91.5, MA,1,-1,0,0,0,0,1
188,0,0,100,166,133, IL,1,5,1,0,0,1,0
189,0,0,108,173,140.5, UT,1,7,1,0,0,1,0
190,0,0,48,93,70.5, LA,0,-1,0,0,0,0,1
191,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
192,0,0,60,127,93.5, MD,1,18,0,0,0,0,1
193,0,0,90,179,134.5, MA,1,7,0,0,0,0,0
194,0,0,138,224,181, CA,1,13,1,0,1,0,0
195,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
196,0,0,190,220,205, CA,1,10,1,0,1,1,0
197,0,0,35,62,48.5, CA,1,34,0,0,0,0,1
198,1,0,18,25,21.5, TX,0,43,0,0,0,1,0
199,0,0,39,66,52.5, IL,0,-1,0,0,0,0,0
200,0,0,81,167,124, PA,1,36,0,0,0,0,0
201,0,0,42,86,64, CA,1,24,0,0,0,0,0
202,0,0,69,127,98, TN,1,62,1,0,0,0,0
203,1,0,21,34,27.5, DE,0,85,0,0,0,0,0
204,0,0,40,68,54, WI,1,56,0,0,0,0,0
205,0,0,49,113,81, MD,1,59,0,0,0,0,1
206,0,0,75,140,107.5, IL,1,15,0,0,0,0,0
207,0,0,86,139,112.5, IL,0,25,1,0,0,1,1
208,0,0,66,112,89, VA,0,25,1,0,1,0,1
209,0,0,76,125,100.5, WI,1,95,0,0,0,0,0
210,0,0,44,86,65, NY,1,18,0,0,0,0,1
211,1,0,15,25,20, LA,0,90,0,0,0,0,0
212,0,0,53,92,72.5, TX,1,21,1,0,1,1,1
213,0,0,44,78,61, FL,1,10,1,0,0,0,1
214,0,0,85,134,109.5, NJ,1,174,1,0,0,0,1
215,0,0,59,110,84.5, MA,1,15,1,0,1,0,0
216,0,0,64,111,87.5, IL,1,28,0,0,0,0,0
217,0,0,65,120,92.5, CA,0,23,1,1,0,0,1
218,0,0,60,103,81.5, VA,0,62,1,0,1,0,0
219,0,0,53,105,79, OH,1,39,0,0,0,0,0
220,0,0,124,204,164, MA,0,169,1,0,1,1,0
221,0,0,131,207,169, CA,1,44,1,0,1,0,1
222,0,0,110,174,142, CA,0,24,1,0,1,1,1
223,0,0,33,62,47.5, CA,0,-1,0,0,0,0,1
224,0,0,52,101,76.5, MA,0,239,0,0,0,0,1
225,0,0,48,90,69, CA,1,7,1,0,0,0,1
226,0,0,34,64,49, ID,0,36,1,1,0,0,1
227,0,0,132,211,171.5, CA,1,50,1,0,0,1,0
228,0,0,81,133,107, MD,1,39,1,0,0,0,1
229,0,0,42,76,59, NJ,1,24,0,0,0,0,1
230,0,0,66,111,88.5, IN,0,1,0,0,0,1,0
231,0,0,74,140,107, UT,0,-1,0,0,0,0,1
232,0,0,63,110,86.5, MA,0,171,1,0,0,1,1
233,0,0,63,105,84, KY,0,85,1,0,0,0,1
234,0,0,91,138,114.5, NY,0,28,1,0,0,0,1
235,0,0,100,190,145, MA,1,10,1,0,0,0,1
236,0,0,62,114,88, TN,0,14,1,0,1,1,1
237,0,0,71,129,100, IL,1,19,1,0,1,1,0
238,0,0,43,80,61.5, VA,1,27,1,0,0,0,1
239,0,0,74,119,96.5, OR,0,21,1,0,1,0,0
240,0,0,55,97,76, MN,0,28,1,0,0,0,1
241,0,0,15,16,15.5, NY,1,54,0,0,0,0,1
242,0,0,61,106,83.5, TX,1,10,1,0,0,0,1
243,0,0,91,149,120, WI,1,69,1,0,0,0,0
244,0,0,127,199,163, CA,1,44,0,0,0,0,1
245,0,0,74,126,100, RI,1,81,0,0,0,1,0
246,0,0,33,72,52.5, NE,1,103,0,0,0,0,1
247,1,0,17,24,20.5, PA,0,3,0,0,0,0,0
248,0,0,37,63,50, DC,1,137,0,0,0,0,1
249,0,0,67,119,93, TX,0,14,1,0,0,1,0
250,0,0,72,117,94.5, OH,0,133,1,0,0,0,0
251,0,0,116,185,150.5, CA,0,38,1,0,1,0,0
252,0,0,78,126,102, NC,0,16,1,0,1,1,1
253,0,0,42,82,62, MA,1,7,0,0,0,0,0
254,0,0,59,116,87.5, MI,0,53,0,0,0,0,1
255,0,0,63,105,84, CT,0,171,0,0,0,1,1
256,0,0,109,177,143, VA,0,8,1,0,0,1,0
257,0,0,116,194,155, PA,0,-1,1,0,1,1,1
258,0,0,48,95,71.5, FL,1,14,1,0,1,1,1
259,0,0,83,133,108, CA,0,20,1,0,1,0,0
260,0,0,105,198,151.5, CA,0,239,0,0,0,0,1
261,0,0,31,72,51.5, CA,1,14,0,0,0,0,1
262,0,0,98,182,140, MA,0,239,0,0,0,0,1
263,0,0,55,100,77.5, NJ,1,6,1,0,0,0,1
264,0,0,45,82,63.5, ID,1,16,0,0,0,0,1
265,0,0,83,135,109, CA,0,-1,1,0,0,0,0
266,0,0,70,122,96, TN,0,170,1,0,0,0,0
267,0,1,200,250,225, CA,0,3,1,0,0,1,1
268,0,0,70,132,101, CA,0,12,1,0,0,1,1
269,0,0,73,124,98.5, NJ,0,38,0,0,0,0,1
270,0,0,54,101,77.5, IA,1,72,0,0,0,0,1
271,0,0,117,206,161.5, MA,0,239,0,0,0,0,0
272,1,0,21,34,27.5, DE,1,85,0,0,0,0,0
273,0,0,111,183,147, NY,0,72,1,0,1,1,0
274,0,0,68,112,90, CA,0,23,1,0,0,0,1
275,0,0,42,74,58, NJ,0,118,0,0,0,1,0
276,0,0,44,78,61, MO,1,59,0,0,0,0,1
277,0,0,81,159,120, PA,1,36,1,0,0,0,0
278,0,0,95,161,128, NY,1,276,1,0,0,0,0
279,0,0,75,124,99.5, OR,0,68,1,0,1,1,1
280,0,0,72,120,96, MI,1,23,1,0,0,0,0
281,0,0,76,126,101, DC,1,17,1,0,0,0,1
282,0,0,114,182,148, CA,1,11,1,0,0,0,0
283,0,0,108,176,142, VA,0,8,1,0,0,1,0
284,0,0,130,208,169, CA,1,13,0,0,0,1,1
285,0,0,83,166,124.5, AZ,0,12,1,0,0,0,1
286,0,0,42,76,59, AL,0,24,1,0,0,0,1
287,0,0,37,68,52.5, CA,0,33,1,0,0,0,0
288,0,0,52,99,75.5, TX,0,38,0,0,1,0,0
289,0,0,105,173,139, NY,0,157,1,0,0,0,1
290,0,0,71,134,102.5, MA,0,239,1,0,1,1,1
291,0,0,39,82,60.5, SC,0,91,0,0,0,0,0
292,0,0,114,179,146.5, MA,1,168,1,0,0,0,1
293,0,0,88,162,125, CA,1,44,0,0,0,0,1
294,0,0,60,102,81, MA,1,169,1,0,0,0,0
295,0,0,100,166,133, IL,1,5,1,0,0,1,0
296,0,0,55,99,77, DC,0,24,0,0,0,0,1
297,0,0,67,117,92, VA,1,52,0,0,0,0,0
298,0,0,92,150,121, MA,0,24,0,0,0,0,0
299,0,0,116,209,162.5, CA,0,38,1,0,1,0,1
300,0,0,38,82,60, TX,1,73,0,0,0,0,0
301,0,1,85,90,87.5, CA,1,-1,1,0,0,0,1
302,0,0,62,119,90.5, IN,0,5,1,0,1,0,0
303,0,0,86,143,114.5, MA,0,24,1,0,0,0,0
304,0,0,93,149,121, CA,1,24,1,0,1,0,1
305,0,0,84,136,110, TX,0,27,0,0,0,0,0
306,0,0,60,123,91.5, MA,1,-1,0,0,0,0,1
307,0,0,52,89,70.5, VA,0,52,0,0,0,0,0
308,0,0,48,93,70.5, LA,0,-1,0,0,0,0,1
309,0,0,56,97,76.5, WA,1,55,1,0,0,0,0
310,0,0,65,119,92, MA,1,169,1,0,1,0,1
311,0,0,108,173,140.5, UT,1,7,1,0,0,1,0
312,0,0,63,101,82, VA,0,51,1,0,0,0,0
313,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
314,0,0,90,179,134.5, MA,1,7,0,0,0,0,0
315,0,0,127,202,164.5, CA,1,12,0,0,0,0,0
316,0,0,31,57,44, FL,1,29,0,0,0,0,0
317,0,0,60,127,93.5, MD,1,18,0,0,0,0,1
318,0,0,75,143,109, VA,0,5,1,0,1,0,0
319,0,0,105,194,149.5, TX,0,10,0,0,1,1,0
320,0,0,45,86,65.5, DC,1,13,0,0,1,1,1
321,0,0,95,154,124.5, NC,1,3,1,0,1,0,1
322,0,0,80,148,114, CA,0,22,1,0,1,0,0
323,0,0,36,62,49, PA,1,83,1,0,0,0,0
324,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
325,0,0,50,92,71, VA,1,31,0,0,0,0,1
326,0,0,67,135,101, MA,0,169,0,0,0,0,0
327,0,0,82,132,107, CA,1,51,1,0,1,1,0
328,0,0,85,140,112.5, MA,1,46,1,0,0,0,1
329,0,0,138,224,181, CA,1,13,1,0,1,0,0
330,0,0,42,80,61, IL,1,92,1,0,1,0,0
331,0,0,190,220,205, CA,1,10,1,0,1,1,0
332,0,0,68,139,103.5, KY,0,145,0,0,0,0,0
333,0,0,34,92,63, MA,1,169,0,0,0,0,1
334,0,0,54,71,62.5, CT,0,39,0,0,0,0,1
335,0,0,65,124,94.5, CA,1,7,1,0,1,1,1
336,0,0,35,62,48.5, CA,1,34,0,0,0,0,1
337,0,0,109,200,154.5, MA,1,10,1,0,0,0,1
338,1,0,18,25,21.5, TX,0,43,0,0,0,1,0
339,0,0,61,113,87, KS,0,47,1,0,0,0,1
340,0,0,39,66,52.5, IL,0,-1,0,0,0,0,0
341,0,0,43,86,64.5, NY,1,17,1,0,0,1,1
342,0,0,74,149,111.5, CA,1,-1,0,0,0,0,1
343,0,0,113,196,154.5, MA,0,239,0,0,1,1,1
344,0,0,81,167,124, PA,1,36,0,0,0,0,0
345,0,0,97,160,128.5, IL,1,12,1,0,0,1,1
346,1,0,24,39,31.5, CO,1,54,0,0,0,0,0
347,0,0,42,86,64, CA,1,24,0,0,0,0,0
348,0,0,69,127,98, TN,1,62,1,0,0,0,0
349,0,0,110,175,142.5, CA,1,10,0,0,0,0,0
350,0,0,102,172,137, NY,0,107,1,0,0,0,0
351,0,0,74,124,99, CO,1,105,1,0,0,1,0
352,0,0,40,68,54, WI,1,56,0,0,0,0,0
353,0,0,108,171,139.5, MA,1,36,1,0,0,0,0
354,0,0,76,142,109, MD,0,21,0,0,0,1,0
355,0,0,202,306,254, IL,0,108,1,0,0,0,0
356,0,0,49,97,73, CA,0,8,0,0,0,0,0
357,0,0,49,113,81, MD,1,59,0,0,0,0,1
358,1,0,21,34,27.5, DE,0,85,0,0,0,0,0
359,0,0,65,134,99.5, NC,1,145,0,0,0,0,1
360,0,0,32,59,45.5, OH,1,31,0,0,0,0,0
361,0,0,87,158,122.5, IN,1,24,1,0,1,1,0
362,0,0,107,173,140, IL,1,52,1,0,0,0,1
363,0,0,56,99,77.5, VA,0,62,0,0,0,0,0
364,1,1,25,28,26.5, MA,1,44,0,0,0,0,1
365,0,0,80,155,117.5, NC,1,145,0,0,0,0,1
366,0,0,43,98,70.5, CA,1,14,0,0,0,0,0
367,0,0,45,78,61.5, CA,1,9,0,0,0,0,1
368,0,0,44,96,70, NY,0,5,0,0,0,0,1
369,0,0,50,110,80, GA,0,5,0,0,0,0,1
370,0,0,61,119,90, MA,1,32,0,0,1,0,1
371,0,1,100,140,120, MA,0,-1,0,0,0,0,1
